ID,ItemNumer,Material,IsConfigurable,Description,Plant,Quantity,UnitPriceAmount,UnitPrice_code,TotalValueAmount,TotalValue_code,parent_ID
11111111-aaaa-4c1a-8f1a-111111111111,10,321380,false,ISANITIZER HARD SURFACE GAL 4/CS,PCI,100,17.77,USD,1777.00,USD,550e8400-e29b-41d4-a716-446655440000
22222222-bbbb-4c1a-8f1a-222222222222,20,314408,false,APRON COT BLU WHT STRIPED OSFA,PCI,100,12.15,USD,1215.00,USD,550e8400-e29b-41d4-a716-446655440000
33333333-cccc-4c1a-8f1a-333333333333,10,314412,false,APRON TWILL WHT M,PCI,50,7.28,USD,364.00,USD,6fa459ea-ee8a-3ca4-894e-db77e160355e
44444444-dddd-4c1a-8f1a-444444444444,20,314409,false,APRON TWILL WHT OSFA,PCI,75,7.78,USD,583.50,USD,6fa459ea-ee8a-3ca4-894e-db77e160355e
55555555-eeee-4c1a-8f1a-555555555555,10,314410,false,APRON TWILL NVY OSFA,PCI,200,8.11,USD,1622.00,USD,7d444840-9dc0-11d1-b245-5ffdce74fad2
66666666-ffff-4c1a-8f1a-666666666666,10,345158,false,APRON TWILL SPLIT CENTER PKT WHT 30LX23W,PCI,30,7.06,USD,211.80,USD,9c858901-8a57-4791-81fe-4c455b099bc9
77777777-aaaa-4c1a-8f1a-777777777777,20,314413,false,APRON TWILL WHT L,PCI,20,7.78,USD,155.60,USD,9c858901-8a57-4791-81fe-4c455b099bc9
88888888-bbbb-4c1a-8f1a-888888888888,10,314411,false,APRON TWILL WHT S,PCI,15,6.79,USD,101.85,USD,16fd2706-8baf-433b-82eb-8c7fada847da
99999999-cccc-4c1a-8f1a-999999999999,20,335235,false,APRON WORK CUSTOM,PCI,5,1.00,USD,5.00,USD,16fd2706-8baf-433b-82eb-8c7fada847da
aaaa1111-aaaa-4c1a-8f1a-aaaaaaaa1111,10,321380,false,ISANITIZER HARD SURFACE GAL 4/CS,PCI,25,17.77,USD,444.25,USD,26fd2706-8baf-433b-82eb-8c7fada847db
bbbb2222-bbbb-4c1a-8f1a-bbbbbbbb2222,20,314408,false,APRON COT BLU WHT STRIPED OSFA,PCI,10,12.15,USD,121.50,USD,26fd2706-8baf-433b-82eb-8c7fada847db
cccc3333-cccc-4c1a-8f1a-cccccccc3333,10,314412,false,APRON TWILL WHT M,PCI,30,7.28,USD,218.40,USD,36fd2706-8baf-433b-82eb-8c7fada847dc
dddd4444-dddd-4c1a-8f1a-dddddddd4444,30,339155,true,HUTCH CONFIGURABLE UNIT,PCI,1,2500.00,USD,2500.00,USD,36fd2706-8baf-433b-82eb-8c7fada847dc
